"NAME","GS.br..follow.link.to.MSigDB","GS.DETAILS","SIZE","ES","NES","NOM.p.val","FDR.q.val","FWER.p.val","RANK.AT.MAX","LEADING.EDGE","X"
"ANTI_CD44_UP","ANTI_CD44_UP","Details ...",23,-0.5944584,-1.749978,0,0.62548053,0.42,653,"tags=48%, list=24%, signal=63%",NA
"INTEGRINPATHWAY","INTEGRINPATHWAY","Details ...",24,-0.5656964,-1.661673,0.040816326,0.7047928,0.53,645,"tags=46%, list=24%, signal=60%",NA
"GO_ROS","GO_ROS","Details ...",19,-0.53051513,-1.6538534,0,0.481793,0.56,451,"tags=53%, list=17%, signal=63%",NA
"KRAS_TOP100_KNOCKDOWN","KRAS_TOP100_KNOCKDOWN","Details ...",34,-0.48341706,-1.6306823,0.02173913,0.43404588,0.6,440,"tags=35%, list=16%, signal=42%",NA
"ST_GA13_PATHWAY","ST_GA13_PATHWAY","Details ...",22,-0.5757121,-1.6102952,0.04,0.41965953,0.65,549,"tags=64%, list=21%, signal=79%",NA
"ST_GAQ_PATHWAY","ST_GAQ_PATHWAY","Details ...",18,-0.6011558,-1.6031643,0.04347826,0.370296,0.65,452,"tags=56%, list=17%, signal=66%",NA
"CELL_ADHESION_MOLECULE_ACTIVITY","CELL_ADHESION_MOLECULE_ACTIVITY","Details ...",64,-0.46957365,-1.5962799,0,0.33160338,0.65,463,"tags=39%, list=17%, signal=46%",NA
"CELL_ADHESION","CELL_ADHESION","Details ...",103,-0.40216118,-1.5951661,0.020408163,0.29015294,0.65,672,"tags=46%, list=25%, signal=59%",NA
"MATRIX_METALLOPROTEINASES","MATRIX_METALLOPROTEINASES","Details ...",16,-0.5547596,-1.5900578,0.041666668,0.27415776,0.67,376,"tags=44%, list=14%, signal=51%",NA
"HOXA9_DOWN","HOXA9_DOWN","Details ...",26,-0.5202505,-1.5690407,0.02,0.29507717,0.69,563,"tags=54%, list=21%, signal=68%",NA
"TOLLPATHWAY","TOLLPATHWAY","Details ...",15,-0.57407206,-1.5609652,0.016129032,0.28385362,0.71,666,"tags=53%, list=25%, signal=71%",NA
"MAP00380_TRYPTOPHAN_METABOLISM","MAP00380_TRYPTOPHAN_METABOLISM","Details ...",30,-0.48478675,-1.5570979,0.06779661,0.2665721,0.72,486,"tags=33%, list=18%, signal=40%",NA
"IL6PATHWAY","IL6PATHWAY","Details ...",16,-0.5629927,-1.5351887,0.06382979,0.28561607,0.73,665,"tags=50%, list=25%, signal=66%",NA
"IL1RPATHWAY","IL1RPATHWAY","Details ...",20,-0.57827115,-1.522666,0.11764706,0.29198703,0.75,550,"tags=45%, list=21%, signal=56%",NA
"CR_CAM","CR_CAM","Details ...",71,-0.38429707,-1.509274,0.023255814,0.30369678,0.78,617,"tags=34%, list=23%, signal=43%",NA
"CELL_MOTILITY","CELL_MOTILITY","Details ...",63,-0.38818178,-1.4906032,0.06382979,0.31952155,0.79,576,"tags=37%, list=22%, signal=45%",NA
"STRESSPATHWAY","STRESSPATHWAY","Details ...",16,-0.5410757,-1.4876179,0.018518519,0.3037039,0.79,550,"tags=44%, list=21%, signal=55%",NA
"ST_G_ALPHA_I_PATHWAY_","ST_G_ALPHA_I_PATHWAY_","Details ...",20,-0.4851527,-1.4585367,0.071428575,0.34912252,0.82,743,"tags=55%, list=28%, signal=76%",NA
"HTERT_DOWN","HTERT_DOWN","Details ...",59,-0.38999525,-1.4573401,0.022222223,0.33252612,0.82,462,"tags=36%, list=17%, signal=42%",NA
"LAIRPATHWAY","LAIRPATHWAY","Details ...",15,-0.56028175,-1.4532627,0.14285715,0.32537445,0.82,479,"tags=47%, list=18%, signal=57%",NA
"DOWNREG_BY_HOXA9","DOWNREG_BY_HOXA9","",23,-0.50317085,-1.4319818,0.14583333,0.35242504,0.83,563,"tags=52%, list=21%, signal=66%",NA
"BCL2FAMILY_AND_REG_NETWORK","BCL2FAMILY_AND_REG_NETWORK","",15,-0.47098276,-1.385733,0.08,0.43451604,0.85,307,"tags=27%, list=11%, signal=30%",NA
"ST_GA12_PATHWAY","ST_GA12_PATHWAY","",15,-0.44643196,-1.3777499,0.1764706,0.43271896,0.85,687,"tags=47%, list=26%, signal=62%",NA
"CELL_ADHESION_RECEPTOR_ACTIVITY","CELL_ADHESION_RECEPTOR_ACTIVITY","",21,-0.45352107,-1.3692284,0.071428575,0.43459392,0.87,592,"tags=48%, list=22%, signal=61%",NA
"CR_TRANSPORT_OF_VESICLES","CR_TRANSPORT_OF_VESICLES","",17,-0.48085514,-1.3544704,0.12,0.45213833,0.88,561,"tags=47%, list=21%, signal=59%",NA
